country,country_name,income_level_code,Income_Group,complete_years,first_complete_year,last_complete_year,included,coverage_rule
GRC,Greece,HIC,High Income,17,2000.0,2020.0,True,"at least 15 complete years, 1990-2020"
GRD,Grenada,UMC,Low and Middle Income,5,2009.0,2018.0,False,"at least 15 complete years, 1990-2020"
GRL,Greenland,HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
GTM,Guatemala,UMC,Low and Middle Income,10,2002.0,2019.0,False,"at least 15 complete years, 1990-2020"
GUM,Guam,HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
GUY,Guyana,HIC,High Income,11,1996.0,2012.0,False,"at least 15 complete years, 1990-2020"
HKG,"Hong Kong SAR, China",HIC,High Income,18,2003.0,2020.0,True,"at least 15 complete years, 1990-2020"
HND,Honduras,LMC,Low and Middle Income,15,1996.0,2019.0,True,"at least 15 complete years, 1990-2020"
HRV,Croatia,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
HTI,Haiti,LMC,Low and Middle Income,0,,,False,"at least 15 complete years, 1990-2020"
HUN,Hungary,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
IDN,Indonesia,UMC,Low and Middle Income,22,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
IMN,Isle of Man,HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
IND,India,LMC,Low and Middle Income,21,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
IRL,Ireland,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
IRN,"Iran, Islamic Rep.",UMC,Low and Middle Income,21,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
IRQ,Iraq,UMC,Low and Middle Income,4,2000.0,2005.0,False,"at least 15 complete years, 1990-2020"
ISL,Iceland,HIC,High Income,22,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
ISR,Israel,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
ITA,Italy,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
JAM,Jamaica,UMC,Low and Middle Income,13,2000.0,2015.0,False,"at least 15 complete years, 1990-2020"
JOR,Jordan,UMC,Low and Middle Income,19,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
JPN,Japan,HIC,High Income,8,2013.0,2020.0,False,"at least 15 complete years, 1990-2020"
KAZ,Kazakhstan,UMC,Low and Middle Income,14,1996.0,2020.0,False,"at least 15 complete years, 1990-2020"
KEN,Kenya,LMC,Low and Middle Income,9,2000.0,2019.0,False,"at least 15 complete years, 1990-2020"
KGZ,Kyrgyz Republic,LMC,Low and Middle Income,22,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
KHM,Cambodia,LMC,Low and Middle Income,17,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
KIR,Kiribati,LMC,Low and Middle Income,0,,,False,"at least 15 complete years, 1990-2020"
KNA,St. Kitts and Nevis,HIC,High Income,3,2008.0,2015.0,False,"at least 15 complete years, 1990-2020"
KOR,"Korea, Rep.",HIC,High Income,20,2000.0,2020.0,True,"at least 15 complete years, 1990-2020"
KWT,Kuwait,HIC,High Income,11,1996.0,2020.0,False,"at least 15 complete years, 1990-2020"
LAO,Lao PDR,LMC,Low and Middle Income,22,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
LBN,Lebanon,LMC,Low and Middle Income,21,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
LBR,Liberia,LIC,Low and Middle Income,3,2000.0,2012.0,False,"at least 15 complete years, 1990-2020"
LBY,Libya,UMC,Low and Middle Income,3,2000.0,2003.0,False,"at least 15 complete years, 1990-2020"
LCA,St. Lucia,UMC,Low and Middle Income,18,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
LIE,Liechtenstein,HIC,High Income,1,2015.0,2015.0,False,"at least 15 complete years, 1990-2020"
LKA,Sri Lanka,UMC,Low and Middle Income,11,2010.0,2020.0,False,"at least 15 complete years, 1990-2020"
LSO,Lesotho,LMC,Low and Middle Income,12,1996.0,2018.0,False,"at least 15 complete years, 1990-2020"
LTU,Lithuania,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
LUX,Luxembourg,HIC,High Income,12,2002.0,2020.0,False,"at least 15 complete years, 1990-2020"
LVA,Latvia,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
MAC,"Macao SAR, China",HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
MAF,St. Martin (French part),HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
MAR,Morocco,LMC,Low and Middle Income,21,1998.0,2020.0,True,"at least 15 complete years, 1990-2020"
MCO,Monaco,HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
MDA,Moldova,UMC,Low and Middle Income,11,2010.0,2020.0,False,"at least 15 complete years, 1990-2020"
MDG,Madagascar,LIC,Low and Middle Income,22,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
MDV,Maldives,UMC,Low and Middle Income,7,2003.0,2020.0,False,"at least 15 complete years, 1990-2020"
MEX,Mexico,UMC,Low and Middle Income,20,2000.0,2020.0,True,"at least 15 complete years, 1990-2020"
MHL,Marshall Islands,UMC,Low and Middle Income,5,2002.0,2019.0,False,"at least 15 complete years, 1990-2020"
MKD,North Macedonia,UMC,Low and Middle Income,20,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
MLI,Mali,LIC,Low and Middle Income,12,1996.0,2015.0,False,"at least 15 complete years, 1990-2020"
MLT,Malta,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
MMR,Myanmar,LMC,Low and Middle Income,5,1998.0,2018.0,False,"at least 15 complete years, 1990-2020"
MNE,Montenegro,UMC,Low and Middle Income,20,2000.0,2020.0,True,"at least 15 complete years, 1990-2020"
MNG,Mongolia,UMC,Low and Middle Income,22,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
MNP,Northern Mariana Islands,HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
MOZ,Mozambique,LIC,Low and Middle Income,19,1996.0,2018.0,True,"at least 15 complete years, 1990-2020"
MRT,Mauritania,LMC,Low and Middle Income,20,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
MUS,Mauritius,UMC,Low and Middle Income,21,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
MWI,Malawi,LIC,Low and Middle Income,15,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
MYS,Malaysia,UMC,Low and Middle Income,21,1998.0,2020.0,True,"at least 15 complete years, 1990-2020"
NAM,Namibia,LMC,Low and Middle Income,15,1998.0,2020.0,True,"at least 15 complete years, 1990-2020"
NCL,New Caledonia,HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
NER,Niger,LIC,Low and Middle Income,15,2003.0,2019.0,True,"at least 15 complete years, 1990-2020"
NGA,Nigeria,LMC,Low and Middle Income,5,2003.0,2011.0,False,"at least 15 complete years, 1990-2020"
NIC,Nicaragua,LMC,Low and Middle Income,1,2002.0,2002.0,False,"at least 15 complete years, 1990-2020"
NLD,Netherlands,HIC,High Income,16,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
